epoch,train_loss,val_mae,val_rmse,val_gmean,elapsed_s
0,10.748695069267637,8.778916803995768,10.564384385657153,6.109386444091797,42.860456228256226
1,7.015273666381836,5.286849000718859,6.6212063786102355,3.3097617626190186,48.54678201675415
2,5.374612853640602,4.68486131032308,5.861159443266803,3.0258677005767822,64.79309391975403
3,4.509327248164586,4.162967395782471,5.360569336989504,2.5526463985443115,64.75695157051086
4,4.215871275038946,3.922235764397515,4.946435890675433,2.498936176300049,51.298113107681274
5,3.8954355012802853,3.715492163764106,4.728725516963749,2.3424713611602783,51.30308246612549
6,3.713065313157581,4.175202814737956,5.25402001567762,2.676964044570923,53.03486728668213
7,3.587006786891392,3.4977310604519314,4.505084210341565,2.245579481124878,76.77584767341614
8,3.644483825138637,3.5621678670247396,4.504638344166491,2.2349002361297607,81.31726026535034
9,3.3749892779759,3.850605265299479,4.892002818110519,2.4349493980407715,83.22546529769897
10,3.2277102901822046,3.449680550893148,4.351687826638196,2.28743577003479,80.90401339530945
11,3.078912878036499,3.748729854159885,4.719373846745346,2.4221608638763428,79.39590120315552
12,2.9593058586120606,3.303748067220052,4.210731316659431,2.22346830368042,82.04356670379639
13,3.0167975107828777,3.2995722028944225,4.1790279082681145,2.2081191539764404,82.25997066497803
14,2.8387586184910365,3.386320029364692,4.377991182404653,2.124572515487671,82.94665789604187
15,3.011776338304792,3.2387928432888455,4.18412930032577,2.0610439777374268,84.79560017585754
16,2.7801120372045607,3.223988268110487,4.126299073625573,2.1348605155944824,82.06709694862366
17,2.81778887567066,3.1666250440809462,4.06690107305794,2.1421103477478027,83.32010841369629
18,2.7406061217898414,3.1662387635972764,4.07578232321403,2.0294971466064453,81.91853380203247
19,2.758298292614165,3.1904655774434407,4.121481842039273,1.9940069913864136,80.9499876499176
