epoch,train_loss,val_mae,val_rmse,val_gmean,elapsed_s
0,10.748695069267637,8.778916803995768,10.564384385657153,6.109386444091797,103.03785419464111
1,7.015273666381836,5.286849000718859,6.6212063786102355,3.3097617626190186,101.40505337715149
2,5.374612853640602,4.68486131032308,5.861159443266803,3.0258677005767822,98.70859789848328
3,4.509327248164586,4.162967395782471,5.360569336989504,2.5526463985443115,96.1282389163971
4,4.215871275038946,3.922235764397515,4.946435890675433,2.498936176300049,87.88599801063538
5,3.8954355012802853,3.6462544335259333,4.690675474252939,2.275599956512451,133.31038355827332
6,3.798312282562256,3.61674231423272,4.561562071012122,2.4418601989746094,134.06392884254456
7,3.7226634116399855,3.2813056310017905,4.29436338073188,2.0398495197296143,135.79240584373474
8,3.499189454033261,3.3803703096177844,4.3285530720230145,2.045900821685791,141.0557782649994
9,3.406978327887399,3.501478661431207,4.442457211527564,2.3125410079956055,147.57479190826416
10,4.206298201424735,6.750794262356228,8.247340226334746,4.279191970825195,143.6077115535736
11,3.0938982872735887,7.1365426593356664,8.723565833832222,4.387783050537109,145.27102518081665
12,2.931894997188023,6.221850797865126,7.536404690818509,4.045264720916748,150.14151978492737
13,2.6963683491661437,6.916313044230143,8.399488568757528,4.589710235595703,129.43506574630737
14,2.7722678820292157,6.552390734354655,7.992957003115045,4.175166606903076,135.22079181671143
15,2.6836534908839633,6.645276853773329,8.08924734325111,4.154692649841309,150.80361890792847
16,2.5977180390130905,6.857926093207466,8.345494219219185,4.4404497146606445,144.19569659233093
17,2.536184058870588,6.956906848483616,8.475701121108367,4.444758892059326,146.31222820281982
18,2.526875772930327,6.940446472167968,8.453915358922949,4.4761962890625,130.80433082580566
19,2.5253348214285714,6.96862366994222,8.490935654850611,4.504429340362549,130.43034648895264
