epoch,train_loss,val_mae,val_rmse,val_gmean,elapsed_s
0,11.029587014516194,8.180634350246853,10.005709328023729,5.884652614593506,81.8666398525238
1,7.4050390243530275,5.942246712578667,7.478096309992427,3.664160966873169,81.20080661773682
2,6.017975080580938,5.152130794525147,6.427280054116435,3.3460888862609863,81.47002363204956
3,5.028652527218774,4.2161319944593645,5.268117131921165,2.8435511589050293,81.43036413192749
4,4.654092180161249,3.775506846110026,4.921003646551908,2.3504393100738525,81.69670796394348
5,4.181406581969489,3.7977930068969727,4.728763754733879,2.6765928268432617,81.17369341850281
6,4.016392725989932,3.968213897281223,5.146812125540412,2.5320160388946533,82.13970589637756
7,3.8206630434308733,3.778932571411133,4.994622649249191,2.3125178813934326,80.88792562484741
8,3.885356194632394,3.590682209862603,4.683382898794689,2.2988927364349365,82.767098903656
9,3.586631198156448,3.521510124206543,4.511495135602076,2.264674425125122,81.92962408065796
10,3.4106450307936895,3.599612416161431,4.560558478490176,2.3118231296539307,79.83976316452026
11,3.313347030821301,3.5098367479112413,4.461313733389409,2.349294662475586,82.03539609909058
12,3.2293678419930596,3.151865635977851,4.056218209555981,2.00518798828125,83.23476982116699
13,3.248400018328712,3.4504956775241427,4.409931849238779,2.175675868988037,84.14367461204529
14,3.17568903423491,3.2957372559441462,4.299244646268634,2.0036957263946533,84.5325357913971
15,3.309260472797212,3.2917912165323893,4.237032941286685,2.0842278003692627,84.76186490058899
16,2.9562970888046993,3.1714271121554907,4.091650457926316,1.9764796495437622,84.14573359489441
17,3.0653590066092353,3.1146805657280816,4.019748637626552,1.9528276920318604,81.85652184486389
18,2.9607844398135232,3.134589025709364,4.048456462496866,2.0298123359680176,83.4467043876648
19,2.9979762100038077,3.1675410588582356,4.099570567687598,1.986661434173584,82.3320689201355
