epoch,train_loss,val_mae,val_rmse,val_gmean,elapsed_s
0,11.029587014516194,8.180634350246853,10.005709328023729,5.884652614593506,99.48947715759277
1,7.4050390243530275,5.942246712578667,7.478096309992427,3.664160966873169,100.36290287971497
2,6.017975080580938,5.152130794525147,6.427280054116435,3.3460888862609863,106.0024561882019
3,5.028652527218774,4.2161319944593645,5.268117131921165,2.8435511589050293,98.78068137168884
4,4.654092180161249,3.775506846110026,4.921003646551908,2.3504393100738525,89.19250893592834
5,4.181406581969489,3.7010853237575954,4.762961869025172,2.380498170852661,134.16109108924866
6,4.043904763176328,3.6396981133355033,4.5618431001624415,2.402550220489502,143.90131258964539
7,3.93452304204305,3.3603689829508463,4.401428513839914,2.0510952472686768,150.27301716804504
8,3.7907238165537516,3.334130859375,4.284331028146346,2.109586000442505,153.826030254364
9,3.5827650478907995,3.5076508627997502,4.494573764226786,2.2216289043426514,153.03582382202148
10,5.150958874112084,6.438841756184896,7.8424220176394535,3.9783780574798584,141.43338131904602
11,3.3162575585501535,6.915771251254611,8.451633780476946,4.312549591064453,156.88426232337952
12,3.181142164411999,6.245540470547146,7.616171473370584,4.011299133300781,141.93065452575684
13,2.9509391898200628,6.849565230475532,8.361232594747753,4.289305686950684,158.55562567710876
14,2.987608757473174,6.529967202080621,7.956976692713063,4.178318023681641,131.36051440238953
15,2.877748557499477,6.795435735914443,8.2340527877806,4.453486442565918,132.63798236846924
16,2.8116491908118837,6.879995600382487,8.380416621592559,4.389388084411621,135.37008666992188
17,2.7601992414111183,6.888255818684896,8.41721002316743,4.24954891204834,133.12742280960083
18,2.7791995922724406,6.967103619045681,8.499813142605042,4.470634937286377,131.22663855552673
19,2.7240024135226295,6.870549201965332,8.384175713688464,4.388237476348877,131.48855209350586
